geoid,county,state,year,geometry,total_pop,plumbing,percent_lacking_plumbing,name,adi,financial_strength,economic_hardship_and_inequality,educational_attainment
39085,Lake County, Ohio,2023,,231640,0,0,"Lake County, Ohio",83.77679658598944,108.74202766126331,85.40910074866648,118.14048940132082
21227,Warren County, Kentucky,2023,,142229,227,0.15960176897819714,"Warren County, Kentucky",101.50249345255234,101.9510331311805,104.90260370538283,94.18110379254918
29187,St. Francois County, Missouri,2023,,67058,28,0.04175489874437054,"St. Francois County, Missouri",109.123467913997,87.01849910794728,105.79910755836877,100.75327992982682
17143,Peoria County, Illinois,2023,,177513,119,0.06703734374383848,"Peoria County, Illinois",98.17002994527054,104.5102380979313,108.19100251350974,114.65267060110315
13015,Bartow County, Georgia,2023,,115041,47,0.04085499952190958,"Bartow County, Georgia",90.43542981578933,108.2387940972863,89.96211924100433,104.26809274128952
13297,Walton County, Georgia,2023,,106702,0,0,"Walton County, Georgia",86.7967542508425,114.90849374739254,87.28610577461829,100.64925714901088
42085,Mercer County, Pennsylvania,2023,,108503,261,0.24054634434070948,"Mercer County, Pennsylvania",100.57637017958075,92.85272423794268,100.32367078517616,112.03503274207448
55105,Rock County, Wisconsin,2023,,164278,164,0.0998307746624624,"Rock County, Wisconsin",90.53737221572348,103.02650558033264,91.29718988844014,114.78788459306094
06029,Kern County, California,2023,,913820,621,0.06795649033726554,"Kern County, California",113.71517054756845,108.90419716126628,114.43470104872632,42.87748796626832
33011,Hillsborough County, New Hampshire,2023,,427354,351,0.08213331336550027,"Hillsborough County, New Hampshire",67.09291802804162,140.59657057067764,80.49302406412573,113.64864986204194
34029,Ocean County, New Jersey,2023,,659197,87,0.01319787559712802,"Ocean County, New Jersey",73.12703720396429,136.30569476685224,85.26959159204885,113.17434488503815
18095,Madison County, Indiana,2023,,132504,117,0.08829922115558776,"Madison County, Indiana",102.61984665539086,91.90402194675795,102.35705177833242,110.40829732021028
18085,Kosciusko County, Indiana,2023,,80364,95,0.11821213478672042,"Kosciusko County, Indiana",93.80951863225097,98.73750954224859,86.77233654622736,97.85907991599065
20173,Sedgwick County, Kansas,2023,,528469,377,0.07133814850066891,"Sedgwick County, Kansas",96.85131557430473,103.74321424642496,100.13396787860316,102.14113701578628
48367,Parker County, Texas,2023,,173494,64,0.03688888376543281,"Parker County, Texas",71.86160079109673,132.85465244421266,76.7872838960889,105.01404338353537
48303,Lubbock County, Texas,2023,,320940,291,0.09067115348663302,"Lubbock County, Texas",99.28962345957804,109.15377175302513,107.8528001747721,98.20307207959344
18059,Hancock County, Indiana,2023,,86166,43,0.04990367430308939,"Hancock County, Indiana",73.70143322074547,116.05319993743775,72.4772934441587,118.81913011666884
48497,Wise County, Texas,2023,,78097,0,0,"Wise County, Texas",83.40830923575714,118.33706060435082,79.57417588746772,86.07861943752289
48231,Hunt County, Texas,2023,,113347,36,0.03176087589437744,"Hunt County, Texas",97.40007434871221,105.768341296324,96.07181940831612,88.03167056334155
17037,DeKalb County, Illinois,2023,,100288,103,0.10270421186981492,"DeKalb County, Illinois",97.07841217157883,109.37552522341775,108.12113151784774,108.94233815166231
08041,El Paso County, Colorado,2023,,744215,545,0.07323152583594794,"El Paso County, Colorado",72.7218689768635,135.4037314673329,87.39377952882161,118.05661130023302
48375,Potter County, Texas,2023,,114647,0,0,"Potter County, Texas",120.67266455203121,90.19456708773365,115.84091305041936,59.73764575091086
55101,Racine County, Wisconsin,2023,,196613,323,0.1642821176626164,"Racine County, Wisconsin",90.39278327570776,106.99425444846139,93.33464616310181,111.83891955373181
55059,Kenosha County, Wisconsin,2023,,167488,13,0.00776175009552923,"Kenosha County, Wisconsin",88.31652734831461,113.34128401460012,94.17799578345945,107.4304177859449
55127,Walworth County, Wisconsin,2023,,105822,73,0.06898376519060309,"Walworth County, Wisconsin",84.2985797473325,111.24673770376411,85.76814598564249,111.89611706476613
13097,Douglas County, Georgia,2023,,149160,450,0.30168946098149635,"Douglas County, Georgia",91.48412568435222,114.5251037650542,100.32197126484114,108.09553942702983
21199,Pulaski County, Kentucky,2023,,66191,123,0.1858258675650768,"Pulaski County, Kentucky",114.96302325858218,88.07969101793128,112.2905910033572,91.11980217353269
23019,Penobscot County, Maine,2023,,155312,240,0.15452766045122077,"Penobscot County, Maine",91.18508186249609,104.64202496945636,95.67181856341355,118.39413844324429
55063,La Crosse County, Wisconsin,2023,,120486,0,0,"La Crosse County, Wisconsin",83.62487102496944,111.08963668163705,90.53005056141122,124.15041103174232
26155,Shiawassee County, Michigan,2023,,68025,120,0.17640573318632857,"Shiawassee County, Michigan",95.26547312065784,93.64196683425617,91.32328337493904,116.57771586331441
51700,Newport News city, Virginia,2023,,183118,405,0.22116886379274567,"Newport News city, Virginia",99.28103386676882,110.08078071022527,114.24771577604952,109.56959212437053
55117,Sheboygan County, Wisconsin,2023,,117752,54,0.04585909368842992,"Sheboygan County, Wisconsin",87.52435748964012,101.01021707570638,84.52321774876526,115.10062018438735
51800,Suffolk city, Virginia,2023,,100659,127,0.12616854926037413,"Suffolk city, Virginia",80.03790921979146,129.52194172049587,92.70568188696645,110.72840614464965
51013,Arlington County, Virginia,2023,,234162,0,0,"Arlington County, Virginia",37.8907782220962,210.49366076921996,91.63527804975091,112.16960155690361
55009,Brown County, Wisconsin,2023,,271417,52,0.01915871150296407,"Brown County, Wisconsin",85.91466663676451,108.73242726002167,88.41692874095642,112.63398909088497
47011,Bradley County, Tennessee,2023,,111579,88,0.07886788732646825,"Bradley County, Tennessee",98.63623199505085,100.05159040075938,98.47195423985708,100.78888638825399
51510,Alexandria city, Virginia,2023,,155230,39,0.02512400953423951,"Alexandria city, Virginia",54.880274138184866,182.0238719298443,94.18889878741399,103.33033584255845
17199,Williamson County, Illinois,2023,,66706,107,0.1604053608371061,"Williamson County, Illinois",96.14484272803828,99.38888136247496,98.90142037150886,115.93254205232466
17167,Sangamon County, Illinois,2023,,193491,139,0.07183796662377062,"Sangamon County, Illinois",91.08881035790048,108.75170595569435,99.64464003881949,117.0999927374651
05119,Pulaski County, Arkansas,2023,,400009,1103,0.2757437957645953,"Pulaski County, Arkansas",99.91731570937739,106.19623909682318,111.21344864785272,110.08721109000793
47113,Madison County, Tennessee,2023,,99193,14,0.01411389916627181,"Madison County, Tennessee",106.40824596126163,99.38801977853917,115.92384860131783,108.7343324682309
18011,Boone County, Indiana,2023,,76120,13,0.01707829742511823,"Boone County, Indiana",64.88479495377072,133.9859906204861,72.66420062102912,121.7749656352318
05125,Saline County, Arkansas,2023,,129574,172,0.1327426798586136,"Saline County, Arkansas",86.84071049155898,105.69162797912384,85.50441483068501,112.79927517026174
16001,Ada County, Idaho,2023,,524673,383,0.07299784818353527,"Ada County, Idaho",69.89884754282664,133.8438766727255,80.43456709221019,118.46449198497334
19169,Story County, Iowa,2023,,98566,0,0,"Story County, Iowa",82.41954846449349,118.61797718055738,97.27640000701963,127.37092369745744
19013,Black Hawk County, Iowa,2023,,130471,21,0.01609553080761241,"Black Hawk County, Iowa",95.78506565241584,100.75008858968353,99.54959645138534,112.50705731736987
48291,Liberty County, Texas,2023,,108272,0,0,"Liberty County, Texas",111.67871216335261,96.0881876883146,101.95565840787124,59.0140924673376
18063,Hendricks County, Indiana,2023,,186387,239,0.12822782704802374,"Hendricks County, Indiana",70.89193259540515,124.40451698084374,73.89272718698611,117.12218964049359
06031,Kings County, California,2023,,152682,261,0.17094352968915785,"Kings County, California",115.80740865318941,105.01733353803118,113.8721809524286,38.99357882416552
06103,Tehama County, California,2023,,64896,0,0,"Tehama County, California",103.21420106040395,105.28372387776194,104.95482217567067,84.04174860165078
48121,Denton County, Texas,2023,,1007703,335,0.03324392206830782,"Denton County, Texas",63.004969406604665,149.08889212898828,79.76490823243952,110.69672270090216
18005,Bartholomew County, Indiana,2023,,84003,7,0.00833303572491458,"Bartholomew County, Indiana",89.14598314344467,109.95217995912171,94.30593266550355,113.73262259942408
18057,Hamilton County, Indiana,2023,,371645,114,0.03067443393561059,"Hamilton County, Indiana",56.10015593843471,145.45059209858945,69.25299840725808,126.54092819025325
20045,Douglas County, Kansas,2023,,120553,309,0.25631879754133036,"Douglas County, Kansas",84.29026605962085,121.42878279162579,101.27966519039343,120.5043934918078
48181,Grayson County, Texas,2023,,146907,330,0.22463190998386737,"Grayson County, Texas",90.26726952536166,107.63822789378503,90.04310553007694,102.3414046730332
18019,Clark County, Indiana,2023,,125467,109,0.08687543338088899,"Clark County, Indiana",92.13017279163628,101.55839798021817,89.86670310685862,108.25498592658269
23005,Cumberland County, Maine,2023,,310230,127,0.04093736904877027,"Cumberland County, Maine",66.12151172085487,139.91386105752375,81.80071351482786,123.9401774050098
18141,St. Joseph County, Indiana,2023,,272848,170,0.06230575265349206,"St. Joseph County, Indiana",97.13107417915292,101.64881659212533,101.40670397427867,111.32672627545799
18003,Allen County, Indiana,2023,,394545,151,0.03827193349301094,"Allen County, Indiana",96.20468262456922,100.9737491944244,96.45814506008473,103.78875806952237
34017,Hudson County, New Jersey,2023,,705472,0,0,"Hudson County, New Jersey",87.91014104893287,154.8339069360415,126.45391105459926,79.82182331509696
21037,Campbell County, Kentucky,2023,,93702,47,0.05015901474888476,"Campbell County, Kentucky",83.08170358079877,116.28005803889997,89.83025916939782,115.48245765370955
34039,Union County, New Jersey,2023,,572726,421,0.07350809985926954,"Union County, New Jersey",76.5909308658369,150.8319737588923,96.32777317388998,80.04620604651134
21015,Boone County, Kentucky,2023,,140496,86,0.06121170709486391,"Boone County, Kentucky",75.52881535268901,117.38413893288673,76.22421413434233,114.40526331308511
13255,Spalding County, Georgia,2023,,69946,86,0.12295199153632803,"Spalding County, Georgia",109.08356816847095,95.5643541067648,112.6819917994644,99.65632600398926
13247,Rockdale County, Georgia,2023,,95987,0,0,"Rockdale County, Georgia",95.98005573507652,109.60336842680127,102.0831617463342,101.67044207969231
35031,McKinley County, New Mexico,2023,,68797,1585,2.3038795296306525,"McKinley County, New Mexico",142.40657457310564,82.08549942646563,149.99205668187483,58.54984044017009
22019,Calcasieu Parish, Louisiana,2023,,203761,55,0.02699240777185035,"Calcasieu Parish, Louisiana",99.4470000872083,104.20856347096861,104.2613517937215,105.09324234576847
36085,Richmond County, New York,2023,,490687,287,0.05848942401164082,"Richmond County, New York",75.31119216754996,155.75450844301218,100.17648745758838,90.28394952879432
36087,Rockland County, New York,2023,,340807,193,0.05663029221817627,"Rockland County, New York",68.59504588787598,166.93713247207737,94.98818201154378,84.5291633960237
41059,Umatilla County, Oregon,2023,,80053,96,0.11992055263388005,"Umatilla County, Oregon",102.40937529357245,99.76249700665304,98.64528548600681,81.62799675105782
29510,St. Louis city, Missouri,2023,,281754,496,0.17604009171120907,"St. Louis city, Missouri",108.89836762279604,105.56157222628853,128.96214114056104,107.06952711400562
36101,Steuben County, New York,2023,,92162,204,0.2213493630780582,"Steuben County, New York",97.53025452376531,99.70255026542989,101.00957920367289,112.30469152889191
41029,Jackson County, Oregon,2023,,220768,263,0.1191295839976808,"Jackson County, Oregon",87.1777831222787,120.49431945323983,97.1542753946201,107.30951684225893
42039,Crawford County, Pennsylvania,2023,,82001,246,0.2999963415080304,"Crawford County, Pennsylvania",102.19445480464427,90.43375540794769,99.67574896330348,108.74625711900072
29097,Jasper County, Missouri,2023,,125056,6,0.00479785056294779,"Jasper County, Missouri",105.4141875834251,92.35213327961944,105.77259155848982,104.30315262965182
36083,Rensselaer County, New York,2023,,159305,0,0,"Rensselaer County, New York",84.30350908929928,123.47587940915064,99.43984477335148,113.5612997711595
42007,Beaver County, Pennsylvania,2023,,165631,45,0.02716882709154687,"Beaver County, Pennsylvania",90.74638292900725,101.32438207282988,93.44638497508197,121.830720160105
45045,Greenville County, South Carolina,2023,,558036,262,0.0469503759614075,"Greenville County, South Carolina",88.21866076644211,113.53266711747816,92.9928599738863,106.1406719974972
46083,Lincoln County, South Dakota,2023,,73238,0,0,"Lincoln County, South Dakota",68.06175968524809,125.65696301181696,72.04531991153554,121.79177997514958
13117,Forsyth County, Georgia,2023,,272887,57,0.02088776673128438,"Forsyth County, Georgia",50.04944786592583,161.89559366285403,66.04202733082795,115.66116902166813
24510,Baltimore city, Maryland,2023,,565239,160,0.02830661012421294,"Baltimore city, Maryland",111.44380257924176,114.19049167759873,138.2857547258996,99.94866316804766
25001,Barnstable County, Massachusetts,2023,,231735,142,0.06127688955056423,"Barnstable County, Massachusetts",65.1816168442526,147.04277171703495,83.30838235253734,122.45165298206322
26139,Ottawa County, Michigan,2023,,303372,127,0.04186279551178092,"Ottawa County, Michigan",77.10502528201465,116.01041826468992,77.85779534216041,116.68720605523924
26017,Bay County, Michigan,2023,,102500,186,0.1814634146341463,"Bay County, Michigan",100.7920391319256,91.29430210068065,99.32520380438926,114.95849245224314
17163,St. Clair County, Illinois,2023,,251018,196,0.07808204989283637,"St. Clair County, Illinois",94.87846219834934,106.50015756088766,102.98858251767294,113.71033240369731
19155,Pottawattamie County, Iowa,2023,,93179,143,0.15346805610706277,"Pottawattamie County, Iowa",94.02798494958589,101.10043340809071,94.53426330851542,109.81262221469626
47125,Montgomery County, Tennessee,2023,,239872,67,0.02793156350053361,"Montgomery County, Tennessee",89.93136020369654,108.91623337057742,96.07572486629284,114.61093842799343
17201,Winnebago County, Illinois,2023,,280922,425,0.15128754600921254,"Winnebago County, Illinois",105.48865147774487,97.20666635309402,110.72529059552716,103.79499911051961
